Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Parent in Telemark,Employees,Org. nr._str
Studentsamskipnaden i sørøst-norge bolig og helse Porsgrunn,973086324,914458811,5.0,Underenhet,,,,,Horten,Underenhet til næringsdrivende og offentlig forvaltning,94.992,Aktiviteter i andre medlemsorganisasjoner ellers,,,,,BEDR,Porsgrunn,False,5.0,973086324
Riis montasje as avd Skien myren,934464869,921979436,5.0,Underenhet,,,,,Trondheim,Underenhet til næringsdrivende og offentlig forvaltning,95.31,Reparasjon og vedlikehold av motorvogner,,,,,BEDR,Skien,False,5.0,934464869
Ocm invest AS,928354822,928152316,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,0.0,Uoppgitt,,,,,BEDR,Seljord,False,0.0,928354822
Sacido invest AS,930971650,930711853,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,0.0,Uoppgitt,,,,,BEDR,Skien,False,0.0,930971650
Dagsrud gård & hagebruk ans,973992872,987664479,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.13,"Dyrking av grønnsaker, meloner, rot- og knollvekster",,,,,BEDR,Skien,False,0.0,973992872
Thor høen dødsbo,934715306,969780445,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.19,Dyrking av ettårige vekster ellers,,,,,BEDR,Bamble,False,0.0,934715306
Utigard john dødsbu,973737031,969100916,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.451,Sauehold,,,,,BEDR,Tokke,False,0.0,973737031
Svalastog honning,815174992,915138462,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.489,Husdyrhold ikke nevnt annet sted,,,,,BEDR,Nissedal,False,0.0,815174992
Berlimo pels as avd treungen,992036346,891731752,,Underenhet,,,,,Nissedal,Underenhet til næringsdrivende og offentlig forvaltning,1.489,Husdyrhold ikke nevnt annet sted,,,,,BEDR,Nissedal,False,0.0,992036346
Norsk landbruksrådgiving sa avd atrå,913907035,931892126,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.61,Tjenester tilknyttet planteproduksjon,,,,,BEDR,Tinn,False,0.0,913907035
Norsk landbruksrådgiving sa avd gvarv,914469929,931892126,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.61,Tjenester tilknyttet planteproduksjon,,,,,BEDR,Midt-Telemark,False,0.0,914469929
Norsk landbruksrådgiving sa avd Skien,974517272,931892126,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.61,Tjenester tilknyttet planteproduksjon,,,,,BEDR,Skien,False,0.0,974517272
Tine sa avd århus,918836217,947942638,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,1.62,Tjenester tilknyttet husdyrhold,,,,,BEDR,Skien,False,0.0,918836217
Animalia as avd Fyresdal,919919132,919117060,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,1.62,Tjenester tilknyttet husdyrhold,,,,,BEDR,Fyresdal,False,0.0,919919132
Trefellingsspesialisten as avd Kragerø,911660121,819545782,,Underenhet,,,,,Nordre follo,Underenhet til næringsdrivende og offentlig forvaltning,2.1,Skogskjøtsel og andre skogbruksaktiviteter,,,,,BEDR,Kragerø,False,0.0,911660121
Ingvar apeland,879067472,970587713,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Tokke,False,0.0,879067472
Harald norem,913045599,912721329,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Nome,False,0.0,913045599
Aasulv tveitereid,914055938,914042593,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Kragerø,False,0.0,914055938
Hans anton nilsen,914204623,914177499,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Seljord,False,0.0,914204623
Marie bakka,914623995,914601738,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Tinn,False,0.0,914623995
Mariann romtveit dødsbu,916420471,988188220,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Tokke,False,0.0,916420471
Hildegunn aabø ramdahl,916684576,916646879,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Tokke,False,0.0,916684576
Hallgeir hagen,916703805,916684355,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Tokke,False,0.0,916703805
Ellen strandrud,916963106,916922337,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Drangedal,False,0.0,916963106
Kjetil reini,917556997,935784999,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Fyresdal,False,0.0,917556997
Jon bernt fjalestad,919176245,919093048,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Nissedal,False,0.0,919176245
Torstein brustugun enk,923908889,936220673,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Notodden,False,0.0,923908889
Bjørn g aasland dødsbo,934716701,976030893,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Notodden,False,0.0,934716701
Eirik lindsholm,978074332,916837461,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Nissedal,False,0.0,978074332
Ledelseskonsulent paal austad,978776469,948029448,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Siljan,False,0.0,978776469
Bergit haugerud,979059019,911639459,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Notodden,False,0.0,979059019
Doughty as avd skogsdrift,990147930,989196022,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Nissedal,False,0.0,990147930
Rosti da,995092980,994995057,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Tokke,False,0.0,995092980
Ellen marie closs,995103478,969565498,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Bamble,False,0.0,995103478
Norsk virkesmåling avd 196 Telemark,916543662,953007940,,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,2.4,Tjenester tilknyttet skogbruk,,,,,BEDR,Midt-Telemark,False,0.0,916543662
Norsk virkesmåling avd 338 vafoss,916543727,953007940,,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,2.4,Tjenester tilknyttet skogbruk,,,,,BEDR,Kragerø,False,0.0,916543727
Norsk virkesmåling avd 386 Porsgrunn,916545223,953007940,,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,2.4,Tjenester tilknyttet skogbruk,,,,,BEDR,Porsgrunn,False,0.0,916545223
Polarfeed as avd Kragerø,929476220,825504672,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,3.3,"Tjenester tilknyttet fiske, fangst og akvakultur",,,,,BEDR,Kragerø,False,0.0,929476220
Ægir group AS,936446116,936116523,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,3.3,"Tjenester tilknyttet fiske, fangst og akvakultur",,,,,BEDR,Notodden,False,0.0,936446116
Equinor asa avd tne ne hyd ht project,891770812,923609016,,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,6.1,Utvinning av råolje,,,,,BEDR,Notodden,False,0.0,891770812
Equinor asa avd cso gbs prs purchasing,991770526,923609016,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,6.1,Utvinning av råolje,,,,,BEDR,Tinn,False,0.0,991770526
Equinor asa avd tne rd tech research support,991770771,923609016,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,6.1,Utvinning av råolje,,,,,BEDR,Bamble,False,0.0,991770771
R madsen holding AS,934209559,989233351,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,8.11,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",,,,,BEDR,Porsgrunn,False,0.0,934209559
Ncc industry as avd Skien pukkverk,972365300,984884176,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,8.12,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin",,,,,BEDR,Skien,False,0.0,972365300
Ncc industry as avd grenland massegjenvinning,998122473,984884176,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,8.12,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin",,,,,BEDR,Skien,False,0.0,998122473
Bilfinger isp offshore Norway as avd grenland,985528527,932066351,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,9.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,,,,,BEDR,Skien,False,0.0,985528527
Tine sa avd brevik,913103416,947942638,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,10.51,Produksjon av meierivarer,,,,,BEDR,Porsgrunn,False,0.0,913103416
Dp Skien,913995686,913169883,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,10.61,Produksjon av kornvarer,,,,,BEDR,Skien,False,0.0,913995686
Fresh water Norway as avd brevik,933585530,921788207,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,11.07,Produksjon av leskedrikker og flaskevann,,,,,BEDR,Porsgrunn,False,0.0,933585530
Celcius as avd grenland,984484674,943529167,,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,13.96,Produksjon av tekstiler til teknisk og industriell bruk,,,,,BEDR,Skien,False,0.0,984484674
Erik garthus as avd stathelle,820451392,988323128,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,14.24,Produksjon av klær av lær og pelsvarer,,,,,BEDR,Bamble,False,0.0,820451392
Telemarksko AS,929385381,928932311,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,15.2,Produksjon av skotøy,,,,,BEDR,Skien,False,0.0,929385381
Combiwood bakevik as avd Skien,933526623,933667901,,Underenhet,,,,,Larvik,Underenhet til næringsdrivende og offentlig forvaltning,16.11,Saging og høvling av tre,,,,,BEDR,Skien,False,0.0,933526623
Igland garasjen as avd Porsgrunn,831238372,970953302,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,16.23,Produksjon av andre bygningsartikler,,,,,BEDR,Porsgrunn,False,0.0,831238372
Clean ammonia Porsgrunn,928980359,928352498,,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,20.11,Produksjon av industrigasser,,,,,BEDR,Porsgrunn,False,0.0,928980359
Elkem asa Porsgrunn testvirksomhet,916831870,911382008,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,20.13,Produksjon av andre uorganiske kjemiske råvarer,,,,,BEDR,Porsgrunn,False,0.0,916831870
Yara Norge as avd tormod gjestlandsvei posrgrunn,918357327,984015666,,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,20.15,Produksjon av gjødsel og nitrogenforbindelser,,,,,BEDR,Porsgrunn,False,0.0,918357327
Orica Norway as avd sannidal,919227397,981413156,,Underenhet,,,,,Lier,Underenhet til næringsdrivende og offentlig forvaltning,20.59,Produksjon av andre kjemiske produkter ikke nevnt annet sted,,,,,BEDR,Kragerø,False,0.0,919227397
Plastinor AS,916193343,916180934,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,22.21,"Produksjon av plater, film, rør og profiler av plast",,,,,BEDR,Kragerø,False,0.0,916193343
Loe rørprodukter as avd Skien,974096129,977293022,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,23.61,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,,,,,BEDR,Skien,False,0.0,974096129
Unicon as avd Skien,973142011,942822979,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,23.63,Produksjon av ferdigblandet betong,,,,,BEDR,Skien,False,0.0,973142011
Norsk steinindustri,922182809,929065689,,Underenhet,,,,,Sarpsborg,Underenhet til næringsdrivende og offentlig forvaltning,23.7,Hogging og bearbeiding av monument- og bygningsstein,,,,,BEDR,Porsgrunn,False,0.0,922182809
Strandberg stein as avd Skien,983889395,960197631,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,23.7,Hogging og bearbeiding av monument- og bygningsstein,,,,,BEDR,Skien,False,0.0,983889395
Hydro aluminium as projects rjukan,936239706,917537534,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,24.42,Produksjon av aluminium,,,,,BEDR,Tinn,False,0.0,936239706
Norsk hydro service og staber Notodden,974110830,914778271,,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,24.42,Produksjon av aluminium,,,,,BEDR,Notodden,False,0.0,974110830
Norsk hydro rjukan næringspark,974283646,914778271,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,24.42,Produksjon av aluminium,,,,,BEDR,Tinn,False,0.0,974283646
Norsk hydro Porsgrunn felles,974835894,914778271,,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,24.42,Produksjon av aluminium,,,,,BEDR,Porsgrunn,False,0.0,974835894
Skarpenord corrosion as avd langesund,972021709,936011667,,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,24.53,Støping av lettmetaller,,,,,BEDR,Bamble,False,0.0,972021709
Polyvox Norge as av rjukan,972090808,965215301,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,26.7,"Produksjon av optiske instrumenter, magnetiske og optiske media og fotografisk utstyr",,,,,BEDR,Tinn,False,0.0,972090808
Omech as avd sannidal,988387827,916152205,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,28.29,Produksjon av maskiner og utstyr til generell bruk ikke nevnt annet sted,,,,,BEDR,Kragerø,False,0.0,988387827
Goodtech as avd portabulk,983829473,984892071,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,28.99,Produksjon av andre spesialmaskiner ikke nevnt annet sted,,,,,BEDR,Porsgrunn,False,0.0,983829473
Hitec products as avd treungen,914271495,984896638,,Underenhet,,,,,Stavanger,Underenhet til næringsdrivende og offentlig forvaltning,30.11,Bygging av sivile skip og flytende materiell,,,,,BEDR,Nissedal,False,0.0,914271495
Not møbelsnekkeri AS,923219099,923198199,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,31.0,Produksjon av møbler,,,,,BEDR,Notodden,False,0.0,923219099
Reco AS,971633131,956796237,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,32.99,Annen industriproduksjon ikke nevnt annet sted,,,,,BEDR,Porsgrunn,False,0.0,971633131
Teisberg AS,917408068,917346402,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Vinje,False,0.0,917408068
Davi turbo as avd Skien,920347738,997632176,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Skien,False,0.0,920347738
Mantena as avd Skien,974709260,984040849,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.17,Reparasjon og vedlikehold av andre sivile transportmidler,,,,,BEDR,Skien,False,0.0,974709260
Abb e-mobility as avd Skien,927624338,927408627,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.2,Installasjon av industrimaskiner og -utstyr,,,,,BEDR,Skien,False,0.0,927624338
Hydro energi as herøya industripark,816557542,930187240,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Porsgrunn,False,0.0,816557542
Statkraft as avd dalen,935419611,987059699,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Tokke,False,0.0,935419611
Solar 1 AS,931494279,931307282,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,35.123,Produksjon av elektrisitet fra solenergi,,,,,BEDR,Notodden,False,0.0,931494279
Kraftriket as avd ulefoss,925883131,975991512,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,35.15,Handel med elektrisitet,,,,,BEDR,Nome,False,0.0,925883131
Smart energi as avd Kragerø,999051014,995287889,,Underenhet,,,,,Fredrikstad,Underenhet til næringsdrivende og offentlig forvaltning,35.15,Handel med elektrisitet,,,,,BEDR,Kragerø,False,0.0,999051014
Vannforsyning 3 arbuneset,930312746,830310932,,Underenhet,,,,,,Underenhet til ikke-næringsdrivende,36.0,"Uttak fra kilde, rensing og distribusjon av vann",,,,,AAFY,Vinje,False,0.0,930312746
Norsk gjenvinning as avd herøya,915355528,937270062,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,38.11,Innsamling av ikke-farlig avfall,,,,,BEDR,Porsgrunn,False,0.0,915355528
Norsk gjenvinning as avd Kragerø,971896892,937270062,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,38.11,Innsamling av ikke-farlig avfall,,,,,BEDR,Kragerø,False,0.0,971896892
Ragn sells as avd skjerkøya,984312245,952187627,,Underenhet,,,,,Lørenskog,Underenhet til næringsdrivende og offentlig forvaltning,38.11,Innsamling av ikke-farlig avfall,,,,,BEDR,Bamble,False,0.0,984312245
Telemark renovasjon AS,998135648,998076218,,Underenhet,,,,,Midt-Telemark,Underenhet til næringsdrivende og offentlig forvaltning,38.11,Innsamling av ikke-farlig avfall,,,,,BEDR,Midt-Telemark,False,0.0,998135648
Metallco grenland AS,917920656,917687994,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,38.21,Materialgjenvinning,,,,,BEDR,Porsgrunn,False,0.0,917920656
Ragn sells as avd Porsgrunn,925952958,952187627,,Underenhet,,,,,Lørenskog,Underenhet til næringsdrivende og offentlig forvaltning,38.21,Materialgjenvinning,,,,,BEDR,Porsgrunn,False,0.0,925952958
Nocas as avd. Bamble,928869253,925854239,,Underenhet,,,,,Nes,Underenhet til næringsdrivende og offentlig forvaltning,38.21,Materialgjenvinning,,,,,BEDR,Bamble,False,0.0,928869253
Kaph entreprenør as avd Porsgrunn,826683252,914949149,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,0.0,826683252
Skanska Norge as avd Porsgrunn,875041932,943049467,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,0.0,875041932
Tømrar elin elin gallefoss,891879822,991872078,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Skien,False,0.0,891879822
Oslo bygg- og håndverkservice v/ jess møller,915153798,915131794,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Skien,False,0.0,915153798
Østnes AS,915447694,915424651,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Midt-Telemark,False,0.0,915447694
Asf bygg AS,918011048,917949786,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Bamble,False,0.0,918011048
Hel ved bolig AS,921010907,920895670,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,0.0,921010907
Lindberg tak og restaurering,925507644,925449369,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Skien,False,0.0,925507644
Kleppe bolig AS,927187205,827043672,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,0.0,927187205
As industrivedlikehold avd Porsgrunn,927296535,935872189,,Underenhet,,,,,Vegårshei,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,0.0,927296535
Backe Vestfold Telemark as avd Kragerø,973147404,914821606,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,0.0,973147404
Con form as avd lunde,991863257,931419323,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Nome,False,0.0,991863257
Stream entreprenør AS,996395960,996379469,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Tinn,False,0.0,996395960
Buen midt AS,997012224,996972798,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Midt-Telemark,False,0.0,997012224
S t montasje sven erik thorsen,998981921,972410802,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Tinn,False,0.0,998981921
Nordic road services as avd rjukan,815384962,922722927,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Tinn,False,0.0,815384962
Mesta as avd Porsgrunn,918270922,992804440,,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Bamble,False,0.0,918270922
Veidekke industri as d&v mobile mapping,932263440,913536770,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Midt-Telemark,False,0.0,932263440
Nordic road services as avd Telemark,987182067,922722927,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Skien,False,0.0,987182067
Bane nor verksted Skien,918055495,917082308,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.12,Bygging av jernbaner og undergrunnsbaner,,,,,BEDR,Skien,False,0.0,918055495
Bane nor Skien infrastruktur - prosjekter,983160433,917082308,,Underenhet,,,,,Hamar,Underenhet til næringsdrivende og offentlig forvaltning,42.12,Bygging av jernbaner og undergrunnsbaner,,,,,BEDR,Skien,False,0.0,983160433
Ipc industriprosjekt AS,931800035,831059192,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.99,Bygging av andre anlegg ikke nevnt annet sted,,,,,BEDR,Porsgrunn,False,0.0,931800035
Ncc industry as avd boring og sprenging,920834698,984884176,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.12,Grunnarbeid,,,,,BEDR,Kragerø,False,0.0,920834698
Bertelsen & garpestad as avd Telemark,930026441,939015159,,Underenhet,,,,,Eigersund,Underenhet til næringsdrivende og offentlig forvaltning,43.12,Grunnarbeid,,,,,BEDR,Fyresdal,False,0.0,930026441
Asfaltknusing AS,930927260,930807893,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.12,Grunnarbeid,,,,,BEDR,Seljord,False,0.0,930927260
Ra1 anlegg as avd Kviteseid,996608026,918954724,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.12,Grunnarbeid,,,,,BEDR,Kviteseid,False,0.0,996608026
Nli elektrosystemer as avd Porsgrunn,894826452,989042335,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Porsgrunn,False,0.0,894826452
Forenede montører as avd Telemark,931615459,993095508,,Underenhet,,,,,Kongsberg,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Notodden,False,0.0,931615459
Varme & bad as avd Seljord,914631297,991603344,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Seljord,False,0.0,914631297
Skien Porsgrunn varmepumpeservice AS,924357142,924332352,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Porsgrunn,False,0.0,924357142
Varme & bad as avd entreprenør Skien,926790188,991603344,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Skien,False,0.0,926790188
Varmeteknikk Norge AS,936290264,935920442,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Skien,False,0.0,936290264
Riis montasje as avd Bamble,932147203,921979436,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.34,Maler- og glassarbeid,,,,,BEDR,Bamble,False,0.0,932147203
Icopaltak as avd Skien,973148982,984834683,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,43.41,Takarbeid,,,,,BEDR,Skien,False,0.0,973148982
Seabrokers fundamentering as avd Bamble,972006491,989580493,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.42,Annen spesialisert byggevirksomhet i forbindelse med oppføring av bygninger,,,,,BEDR,Bamble,False,0.0,972006491
Telemark bad AS,918366784,918174842,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.99,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,,,,,BEDR,Porsgrunn,False,0.0,918366784
Tt anlegg as avd songa,919540117,916687435,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.99,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,,,,,BEDR,Vinje,False,0.0,919540117
Total betong as avd rjukan,921389213,996509761,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.99,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,,,,,BEDR,Tinn,False,0.0,921389213
Seabrokers fundamentering as avd Skien,980174166,989580493,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.99,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,,,,,BEDR,Skien,False,0.0,980174166
Vin grossisten,911577879,985467544,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.34,Engroshandel med drikkevarer,,,,,BEDR,Porsgrunn,False,0.0,911577879
Gem-tre kittilsen dødsbo,999365817,953368307,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.48,"Engroshandel med klokker, ur og smykker",,,,,BEDR,Bamble,False,0.0,999365817
