Nivå,Geografisk enhet,Arbeidsmarkedsstatus,Kjønn,Antall personer,Andel av arbeidsstyrken,Dato
Fylker,Vestfold,Helt ledige,Menn,1920,0.03,2019-04-01
Fylker,Vestland,Arbeidssøkere på tiltak,Begge kjønn,1702,0.005,2019-04-01
Fylker,Vestland,Arbeidssøkere på tiltak,Kvinner,757,0.005,2019-04-01
Fylker,Vestland,Arbeidssøkere på tiltak,Menn,945,0.005,2019-04-01
Fylker,Vestland,Delvis ledige,Begge kjønn,3314,0.01,2019-04-01
Fylker,Vestland,Delvis ledige,Kvinner,1778,0.011,2019-04-01
Fylker,Vestland,Delvis ledige,Menn,1536,0.009,2019-04-01
Fylker,Vestland,Helt ledige,Begge kjønn,7433,0.022,2019-04-01
Fylker,Vestland,Helt ledige,Kvinner,3094,0.02,2019-04-01
Fylker,Vestland,Helt ledige,Menn,4339,0.024,2019-04-01
Fylker,Østfold,Arbeidssøkere på tiltak,Begge kjønn,1289,0.009,2019-04-01
Fylker,Østfold,Arbeidssøkere på tiltak,Kvinner,672,0.01,2019-04-01
Fylker,Østfold,Arbeidssøkere på tiltak,Menn,617,0.008,2019-04-01
Fylker,Østfold,Delvis ledige,Begge kjønn,1715,0.012,2019-04-01
Fylker,Østfold,Delvis ledige,Kvinner,992,0.015,2019-04-01
Fylker,Østfold,Delvis ledige,Menn,723,0.009,2019-04-01
Fylker,Østfold,Helt ledige,Begge kjønn,4172,0.029,2019-04-01
Fylker,Østfold,Helt ledige,Kvinner,1998,0.03,2019-04-01
Fylker,Østfold,Helt ledige,Menn,2174,0.028,2019-04-01
Landet,Landet,Arbeidssøkere på tiltak,Begge kjønn,16289,0.006,2019-04-01
Landet,Landet,Arbeidssøkere på tiltak,Kvinner,7620,0.006,2019-04-01
Landet,Landet,Arbeidssøkere på tiltak,Menn,8669,0.006,2019-04-01
Landet,Landet,Delvis ledige,Begge kjønn,27367,0.01,2019-04-01
Landet,Landet,Delvis ledige,Kvinner,15401,0.012,2019-04-01
Landet,Landet,Delvis ledige,Menn,11966,0.008,2019-04-01
Landet,Landet,Helt ledige,Begge kjønn,63340,0.023,2019-04-01
Landet,Landet,Helt ledige,Kvinner,27390,0.021,2019-04-01
Landet,Landet,Helt ledige,Menn,35950,0.024,2019-04-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Begge kjønn,43,0.006,2019-04-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Kvinner,15,0.005,2019-04-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Menn,28,0.008,2019-04-01
Telemark kommuner,Bamble,Delvis ledige,Begge kjønn,95,0.014,2019-04-01
Telemark kommuner,Bamble,Delvis ledige,Kvinner,57,0.018,2019-04-01
Telemark kommuner,Bamble,Delvis ledige,Menn,38,0.01,2019-04-01
Telemark kommuner,Bamble,Helt ledige,Begge kjønn,157,0.023,2019-04-01
Telemark kommuner,Bamble,Helt ledige,Kvinner,75,0.024,2019-04-01
Telemark kommuner,Bamble,Helt ledige,Menn,82,0.022,2019-04-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Begge kjønn,10,0.005,2019-04-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Kvinner,6,0.007,2019-04-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Menn,4,0.004,2019-04-01
Telemark kommuner,Drangedal,Delvis ledige,Begge kjønn,28,0.014,2019-04-01
Telemark kommuner,Drangedal,Delvis ledige,Kvinner,15,0.017,2019-04-01
Telemark kommuner,Drangedal,Delvis ledige,Menn,13,0.012,2019-04-01
Telemark kommuner,Drangedal,Helt ledige,Begge kjønn,41,0.021,2019-04-01
Telemark kommuner,Drangedal,Helt ledige,Kvinner,14,0.016,2019-04-01
Telemark kommuner,Drangedal,Helt ledige,Menn,27,0.025,2019-04-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Begge kjønn,7,0.011,2019-04-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Kvinner,0,0.007,2019-04-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Menn,5,0.014,2019-04-01
Telemark kommuner,Fyresdal,Delvis ledige,Begge kjønn,13,0.02,2019-04-01
Telemark kommuner,Fyresdal,Delvis ledige,Kvinner,6,0.02,2019-04-01
Telemark kommuner,Fyresdal,Delvis ledige,Menn,7,0.02,2019-04-01
Telemark kommuner,Fyresdal,Helt ledige,Begge kjønn,8,0.012,2019-04-01
Telemark kommuner,Fyresdal,Helt ledige,Kvinner,0,0.007,2019-04-01
Telemark kommuner,Fyresdal,Helt ledige,Menn,6,0.017,2019-04-01
Telemark kommuner,Hjartdal,Arbeidssøkere på tiltak,Begge kjønn,0,0.001,2019-04-01
Telemark kommuner,Hjartdal,Arbeidssøkere på tiltak,Menn,0,0.002,2019-04-01
Telemark kommuner,Hjartdal,Delvis ledige,Begge kjønn,5,0.006,2019-04-01
Telemark kommuner,Hjartdal,Delvis ledige,Kvinner,0,0.009,2019-04-01
Telemark kommuner,Hjartdal,Delvis ledige,Menn,0,0.005,2019-04-01
Telemark kommuner,Hjartdal,Helt ledige,Begge kjønn,8,0.01,2019-04-01
Telemark kommuner,Hjartdal,Helt ledige,Kvinner,0,0.009,2019-04-01
Telemark kommuner,Hjartdal,Helt ledige,Menn,5,0.012,2019-04-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Begge kjønn,27,0.006,2019-04-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Kvinner,10,0.004,2019-04-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Menn,17,0.007,2019-04-01
Telemark kommuner,Kragerø,Delvis ledige,Begge kjønn,73,0.015,2019-04-01
Telemark kommuner,Kragerø,Delvis ledige,Kvinner,49,0.021,2019-04-01
Telemark kommuner,Kragerø,Delvis ledige,Menn,24,0.009,2019-04-01
Telemark kommuner,Kragerø,Helt ledige,Begge kjønn,148,0.03,2019-04-01
Telemark kommuner,Kragerø,Helt ledige,Kvinner,60,0.026,2019-04-01
Telemark kommuner,Kragerø,Helt ledige,Menn,88,0.034,2019-04-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Begge kjønn,6,0.005,2019-04-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Kvinner,0,0.004,2019-04-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Menn,4,0.006,2019-04-01
Telemark kommuner,Kviteseid,Delvis ledige,Begge kjønn,0,0.002,2019-04-01
Telemark kommuner,Kviteseid,Delvis ledige,Kvinner,0,0.002,2019-04-01
Telemark kommuner,Kviteseid,Delvis ledige,Menn,0,0.003,2019-04-01
Telemark kommuner,Kviteseid,Helt ledige,Begge kjønn,17,0.014,2019-04-01
Telemark kommuner,Kviteseid,Helt ledige,Kvinner,4,0.007,2019-04-01
Telemark kommuner,Kviteseid,Helt ledige,Menn,13,0.019,2019-04-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Begge kjønn,27,0.005,2019-04-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Kvinner,9,0.004,2019-04-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Menn,18,0.006,2019-04-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Begge kjønn,52,0.01,2019-04-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Kvinner,35,0.014,2019-04-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Menn,17,0.006,2019-04-01
Telemark kommuner,Midt-Telemark,Helt ledige,Begge kjønn,113,0.022,2019-04-01
Telemark kommuner,Midt-Telemark,Helt ledige,Kvinner,55,0.023,2019-04-01
Telemark kommuner,Midt-Telemark,Helt ledige,Menn,58,0.02,2019-04-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Begge kjønn,0,0.004,2019-04-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Kvinner,0,0.003,2019-04-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Menn,0,0.005,2019-04-01
Telemark kommuner,Nissedal,Delvis ledige,Begge kjønn,9,0.012,2019-04-01
Telemark kommuner,Nissedal,Delvis ledige,Kvinner,8,0.023,2019-04-01
Telemark kommuner,Nissedal,Delvis ledige,Menn,0,0.002,2019-04-01
Telemark kommuner,Nissedal,Helt ledige,Begge kjønn,12,0.015,2019-04-01
Telemark kommuner,Nissedal,Helt ledige,Kvinner,5,0.014,2019-04-01
Telemark kommuner,Nissedal,Helt ledige,Menn,7,0.016,2019-04-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Begge kjønn,19,0.006,2019-04-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Kvinner,9,0.006,2019-04-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Menn,10,0.006,2019-04-01
Telemark kommuner,Nome,Delvis ledige,Begge kjønn,27,0.008,2019-04-01
Telemark kommuner,Nome,Delvis ledige,Kvinner,13,0.009,2019-04-01
Telemark kommuner,Nome,Delvis ledige,Menn,14,0.008,2019-04-01
Telemark kommuner,Nome,Helt ledige,Begge kjønn,76,0.024,2019-04-01
Telemark kommuner,Nome,Helt ledige,Kvinner,34,0.023,2019-04-01
Telemark kommuner,Nome,Helt ledige,Menn,42,0.024,2019-04-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Begge kjønn,24,0.004,2019-04-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Kvinner,11,0.004,2019-04-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Menn,13,0.004,2019-04-01
Telemark kommuner,Notodden,Delvis ledige,Begge kjønn,88,0.015,2019-04-01
Telemark kommuner,Notodden,Delvis ledige,Kvinner,49,0.017,2019-04-01
Telemark kommuner,Notodden,Delvis ledige,Menn,39,0.012,2019-04-01
Telemark kommuner,Notodden,Helt ledige,Begge kjønn,185,0.031,2019-04-01
Telemark kommuner,Notodden,Helt ledige,Kvinner,78,0.028,2019-04-01
Telemark kommuner,Notodden,Helt ledige,Menn,107,0.033,2019-04-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Begge kjønn,109,0.006,2019-04-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Kvinner,54,0.006,2019-04-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Menn,55,0.006,2019-04-01
Telemark kommuner,Porsgrunn,Delvis ledige,Begge kjønn,267,0.015,2019-04-01
Telemark kommuner,Porsgrunn,Delvis ledige,Kvinner,143,0.017,2019-04-01
Telemark kommuner,Porsgrunn,Delvis ledige,Menn,124,0.013,2019-04-01
Telemark kommuner,Porsgrunn,Helt ledige,Begge kjønn,499,0.028,2019-04-01
Telemark kommuner,Porsgrunn,Helt ledige,Kvinner,217,0.026,2019-04-01
Telemark kommuner,Porsgrunn,Helt ledige,Menn,282,0.03,2019-04-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Begge kjønn,11,0.008,2019-04-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Kvinner,6,0.009,2019-04-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Menn,5,0.006,2019-04-01
Telemark kommuner,Seljord,Delvis ledige,Begge kjønn,10,0.007,2019-04-01
Telemark kommuner,Seljord,Delvis ledige,Kvinner,6,0.009,2019-04-01
Telemark kommuner,Seljord,Delvis ledige,Menn,4,0.005,2019-04-01
Telemark kommuner,Seljord,Helt ledige,Begge kjønn,20,0.014,2019-04-01
Telemark kommuner,Seljord,Helt ledige,Kvinner,6,0.009,2019-04-01
Telemark kommuner,Seljord,Helt ledige,Menn,14,0.018,2019-04-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Begge kjønn,10,0.008,2019-04-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Kvinner,0,0.006,2019-04-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Menn,7,0.011,2019-04-01
Telemark kommuner,Siljan,Delvis ledige,Begge kjønn,15,0.013,2019-04-01
Telemark kommuner,Siljan,Delvis ledige,Kvinner,10,0.018,2019-04-01
Telemark kommuner,Siljan,Delvis ledige,Menn,5,0.008,2019-04-01
Telemark kommuner,Siljan,Helt ledige,Begge kjønn,14,0.012,2019-04-01
Telemark kommuner,Siljan,Helt ledige,Kvinner,9,0.017,2019-04-01
Telemark kommuner,Siljan,Helt ledige,Menn,5,0.008,2019-04-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Begge kjønn,153,0.006,2019-04-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Kvinner,59,0.005,2019-04-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Menn,94,0.007,2019-04-01
Telemark kommuner,Skien,Delvis ledige,Begge kjønn,417,0.015,2019-04-01
Telemark kommuner,Skien,Delvis ledige,Kvinner,239,0.019,2019-04-01
Telemark kommuner,Skien,Delvis ledige,Menn,178,0.013,2019-04-01
Telemark kommuner,Skien,Helt ledige,Begge kjønn,863,0.032,2019-04-01
Telemark kommuner,Skien,Helt ledige,Kvinner,401,0.031,2019-04-01
Telemark kommuner,Skien,Helt ledige,Menn,462,0.033,2019-04-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Begge kjønn,12,0.004,2019-04-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Kvinner,0,0.002,2019-04-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Menn,9,0.006,2019-04-01
Telemark kommuner,Tinn,Delvis ledige,Begge kjønn,44,0.015,2019-04-01
Telemark kommuner,Tinn,Delvis ledige,Kvinner,23,0.016,2019-04-01
Telemark kommuner,Tinn,Delvis ledige,Menn,21,0.013,2019-04-01
Telemark kommuner,Tinn,Helt ledige,Begge kjønn,53,0.018,2019-04-01
Telemark kommuner,Tinn,Helt ledige,Kvinner,19,0.014,2019-04-01
Telemark kommuner,Tinn,Helt ledige,Menn,34,0.022,2019-04-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Begge kjønn,4,0.003,2019-04-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Kvinner,0,0.002,2019-04-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Menn,0,0.005,2019-04-01
Telemark kommuner,Tokke,Delvis ledige,Begge kjønn,8,0.007,2019-04-01
Telemark kommuner,Tokke,Delvis ledige,Kvinner,5,0.01,2019-04-01
Telemark kommuner,Tokke,Delvis ledige,Menn,0,0.005,2019-04-01
Telemark kommuner,Tokke,Helt ledige,Begge kjønn,9,0.008,2019-04-01
Telemark kommuner,Tokke,Helt ledige,Kvinner,0,0.006,2019-04-01
Telemark kommuner,Tokke,Helt ledige,Menn,6,0.009,2019-04-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Begge kjønn,10,0.005,2019-04-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Kvinner,0,0.003,2019-04-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Menn,7,0.007,2019-04-01
Telemark kommuner,Vinje,Delvis ledige,Begge kjønn,4,0.002,2019-04-01
Telemark kommuner,Vinje,Delvis ledige,Kvinner,0,0.001,2019-04-01
Telemark kommuner,Vinje,Delvis ledige,Menn,0,0.003,2019-04-01
Telemark kommuner,Vinje,Helt ledige,Begge kjønn,27,0.013,2019-04-01
Telemark kommuner,Vinje,Helt ledige,Kvinner,6,0.006,2019-04-01
Telemark kommuner,Vinje,Helt ledige,Menn,21,0.02,2019-04-01
Fylker,Agder,Arbeidssøkere på tiltak,Begge kjønn,1285,0.008,2019-05-01
Fylker,Agder,Arbeidssøkere på tiltak,Kvinner,566,0.008,2019-05-01
Fylker,Agder,Arbeidssøkere på tiltak,Menn,719,0.009,2019-05-01
Fylker,Agder,Delvis ledige,Begge kjønn,1622,0.011,2019-05-01
Fylker,Agder,Delvis ledige,Kvinner,924,0.013,2019-05-01
Fylker,Agder,Delvis ledige,Menn,698,0.009,2019-05-01
Fylker,Agder,Helt ledige,Begge kjønn,3183,0.021,2019-05-01
Fylker,Agder,Helt ledige,Kvinner,1382,0.019,2019-05-01
Fylker,Agder,Helt ledige,Menn,1801,0.022,2019-05-01
Fylker,Akershus,Arbeidssøkere på tiltak,Begge kjønn,2005,0.006,2019-05-01
Fylker,Akershus,Arbeidssøkere på tiltak,Kvinner,978,0.006,2019-05-01
Fylker,Akershus,Arbeidssøkere på tiltak,Menn,1027,0.005,2019-05-01
Fylker,Akershus,Delvis ledige,Begge kjønn,2686,0.008,2019-05-01
Fylker,Akershus,Delvis ledige,Kvinner,1523,0.009,2019-05-01
Fylker,Akershus,Delvis ledige,Menn,1163,0.006,2019-05-01
Fylker,Akershus,Helt ledige,Begge kjønn,6702,0.019,2019-05-01
Fylker,Akershus,Helt ledige,Kvinner,3151,0.019,2019-05-01
Fylker,Akershus,Helt ledige,Menn,3551,0.019,2019-05-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Begge kjønn,801,0.006,2019-05-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Kvinner,391,0.006,2019-05-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Menn,410,0.006,2019-05-01
Fylker,Buskerud,Delvis ledige,Begge kjønn,1333,0.01,2019-05-01
Fylker,Buskerud,Delvis ledige,Kvinner,806,0.013,2019-05-01
Fylker,Buskerud,Delvis ledige,Menn,527,0.007,2019-05-01
Fylker,Buskerud,Helt ledige,Begge kjønn,2979,0.022,2019-05-01
Fylker,Buskerud,Helt ledige,Kvinner,1384,0.022,2019-05-01
Fylker,Buskerud,Helt ledige,Menn,1595,0.022,2019-05-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Begge kjønn,240,0.006,2019-05-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Kvinner,101,0.005,2019-05-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Menn,139,0.006,2019-05-01
Fylker,Finnmark,Delvis ledige,Begge kjønn,630,0.016,2019-05-01
Fylker,Finnmark,Delvis ledige,Kvinner,301,0.016,2019-05-01
Fylker,Finnmark,Delvis ledige,Menn,329,0.015,2019-05-01
Fylker,Finnmark,Helt ledige,Begge kjønn,1075,0.027,2019-05-01
Fylker,Finnmark,Helt ledige,Kvinner,357,0.019,2019-05-01
Fylker,Finnmark,Helt ledige,Menn,718,0.033,2019-05-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Begge kjønn,682,0.004,2019-05-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Kvinner,319,0.004,2019-05-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Menn,363,0.004,2019-05-01
Fylker,Innlandet,Delvis ledige,Begge kjønn,1803,0.01,2019-05-01
Fylker,Innlandet,Delvis ledige,Kvinner,1048,0.012,2019-05-01
Fylker,Innlandet,Delvis ledige,Menn,755,0.007,2019-05-01
Fylker,Innlandet,Helt ledige,Begge kjønn,3474,0.018,2019-05-01
Fylker,Innlandet,Helt ledige,Kvinner,1525,0.017,2019-05-01
Fylker,Innlandet,Helt ledige,Menn,1949,0.019,2019-05-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Begge kjønn,908,0.007,2019-05-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Kvinner,395,0.006,2019-05-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Menn,513,0.007,2019-05-01
Fylker,Møre og Romsdal,Delvis ledige,Begge kjønn,1496,0.011,2019-05-01
Fylker,Møre og Romsdal,Delvis ledige,Kvinner,882,0.014,2019-05-01
Fylker,Møre og Romsdal,Delvis ledige,Menn,614,0.008,2019-05-01
Fylker,Møre og Romsdal,Helt ledige,Begge kjønn,2756,0.02,2019-05-01
Fylker,Møre og Romsdal,Helt ledige,Kvinner,1082,0.017,2019-05-01
Fylker,Møre og Romsdal,Helt ledige,Menn,1674,0.022,2019-05-01
Fylker,Nordland,Arbeidssøkere på tiltak,Begge kjønn,605,0.005,2019-05-01
Fylker,Nordland,Arbeidssøkere på tiltak,Kvinner,256,0.004,2019-05-01
Fylker,Nordland,Arbeidssøkere på tiltak,Menn,349,0.005,2019-05-01
Fylker,Nordland,Delvis ledige,Begge kjønn,1339,0.011,2019-05-01
Fylker,Nordland,Delvis ledige,Kvinner,721,0.012,2019-05-01
Fylker,Nordland,Delvis ledige,Menn,618,0.009,2019-05-01
Fylker,Nordland,Helt ledige,Begge kjønn,2285,0.018,2019-05-01
Fylker,Nordland,Helt ledige,Kvinner,914,0.016,2019-05-01
Fylker,Nordland,Helt ledige,Menn,1371,0.021,2019-05-01
Fylker,Oslo,Arbeidssøkere på tiltak,Begge kjønn,2534,0.007,2019-05-01
Fylker,Oslo,Arbeidssøkere på tiltak,Kvinner,1438,0.008,2019-05-01
Fylker,Oslo,Arbeidssøkere på tiltak,Menn,1096,0.005,2019-05-01
Fylker,Oslo,Delvis ledige,Begge kjønn,3264,0.008,2019-05-01
Fylker,Oslo,Delvis ledige,Kvinner,1724,0.009,2019-05-01
Fylker,Oslo,Delvis ledige,Menn,1540,0.008,2019-05-01
Fylker,Oslo,Helt ledige,Begge kjønn,9573,0.025,2019-05-01
Fylker,Oslo,Helt ledige,Kvinner,4385,0.023,2019-05-01
Fylker,Oslo,Helt ledige,Menn,5188,0.026,2019-05-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Begge kjønn,1344,0.005,2019-05-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Kvinner,562,0.005,2019-05-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Menn,782,0.006,2019-05-01
Fylker,Rogaland,Delvis ledige,Begge kjønn,2501,0.01,2019-05-01
Fylker,Rogaland,Delvis ledige,Kvinner,1414,0.012,2019-05-01
Fylker,Rogaland,Delvis ledige,Menn,1087,0.008,2019-05-01
Fylker,Rogaland,Helt ledige,Begge kjønn,5652,0.022,2019-05-01
Fylker,Rogaland,Helt ledige,Kvinner,2582,0.022,2019-05-01
Fylker,Rogaland,Helt ledige,Menn,3070,0.023,2019-05-01
Fylker,Telemark,Arbeidssøkere på tiltak,Begge kjønn,479,0.006,2019-05-01
Fylker,Telemark,Arbeidssøkere på tiltak,Kvinner,207,0.005,2019-05-01
Fylker,Telemark,Arbeidssøkere på tiltak,Menn,272,0.006,2019-05-01
Fylker,Telemark,Delvis ledige,Begge kjønn,1160,0.014,2019-05-01
Fylker,Telemark,Delvis ledige,Kvinner,655,0.016,2019-05-01
Fylker,Telemark,Delvis ledige,Menn,505,0.011,2019-05-01
Fylker,Telemark,Helt ledige,Begge kjønn,2086,0.024,2019-05-01
Fylker,Telemark,Helt ledige,Kvinner,948,0.024,2019-05-01
Fylker,Telemark,Helt ledige,Menn,1138,0.025,2019-05-01
Fylker,Troms ,Arbeidssøkere på tiltak,Begge kjønn,428,0.005,2019-05-01
Fylker,Troms ,Arbeidssøkere på tiltak,Kvinner,158,0.004,2019-05-01
Fylker,Troms ,Arbeidssøkere på tiltak,Menn,270,0.006,2019-05-01
Fylker,Troms ,Delvis ledige,Begge kjønn,750,0.008,2019-05-01
Fylker,Troms ,Delvis ledige,Kvinner,386,0.009,2019-05-01
Fylker,Troms ,Delvis ledige,Menn,364,0.008,2019-05-01
Fylker,Troms ,Helt ledige,Begge kjønn,1450,0.016,2019-05-01
Fylker,Troms ,Helt ledige,Kvinner,518,0.012,2019-05-01
Fylker,Troms ,Helt ledige,Menn,932,0.019,2019-05-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Begge kjønn,1236,0.005,2019-05-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Kvinner,498,0.004,2019-05-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Menn,738,0.006,2019-05-01
Fylker,Trøndelag,Delvis ledige,Begge kjønn,2340,0.01,2019-05-01
Fylker,Trøndelag,Delvis ledige,Kvinner,1326,0.012,2019-05-01
Fylker,Trøndelag,Delvis ledige,Menn,1014,0.008,2019-05-01
Fylker,Trøndelag,Helt ledige,Begge kjønn,4235,0.017,2019-05-01
Fylker,Trøndelag,Helt ledige,Kvinner,1799,0.016,2019-05-01
Fylker,Trøndelag,Helt ledige,Menn,2436,0.018,2019-05-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Begge kjønn,493,0.004,2019-05-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Kvinner,202,0.003,2019-05-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Menn,291,0.004,2019-05-01
Fylker,Vestfold,Delvis ledige,Begge kjønn,1492,0.012,2019-05-01
Fylker,Vestfold,Delvis ledige,Kvinner,852,0.015,2019-05-01
Fylker,Vestfold,Delvis ledige,Menn,640,0.01,2019-05-01
Fylker,Vestfold,Helt ledige,Begge kjønn,3274,0.027,2019-05-01
Fylker,Vestfold,Helt ledige,Kvinner,1503,0.026,2019-05-01
Fylker,Vestfold,Helt ledige,Menn,1771,0.027,2019-05-01
Fylker,Vestland,Arbeidssøkere på tiltak,Begge kjønn,1622,0.005,2019-05-01
Fylker,Vestland,Arbeidssøkere på tiltak,Kvinner,710,0.005,2019-05-01
Fylker,Vestland,Arbeidssøkere på tiltak,Menn,912,0.005,2019-05-01
Fylker,Vestland,Delvis ledige,Begge kjønn,3190,0.009,2019-05-01
Fylker,Vestland,Delvis ledige,Kvinner,1750,0.011,2019-05-01
Fylker,Vestland,Delvis ledige,Menn,1440,0.008,2019-05-01
Fylker,Vestland,Helt ledige,Begge kjønn,6974,0.021,2019-05-01
Fylker,Vestland,Helt ledige,Kvinner,2943,0.019,2019-05-01
Fylker,Vestland,Helt ledige,Menn,4031,0.023,2019-05-01
Fylker,Østfold,Arbeidssøkere på tiltak,Begge kjønn,1136,0.008,2019-05-01
Fylker,Østfold,Arbeidssøkere på tiltak,Kvinner,577,0.009,2019-05-01
Fylker,Østfold,Arbeidssøkere på tiltak,Menn,559,0.007,2019-05-01
Fylker,Østfold,Delvis ledige,Begge kjønn,1716,0.012,2019-05-01
Fylker,Østfold,Delvis ledige,Kvinner,999,0.015,2019-05-01
Fylker,Østfold,Delvis ledige,Menn,717,0.009,2019-05-01
Fylker,Østfold,Helt ledige,Begge kjønn,4104,0.028,2019-05-01
Fylker,Østfold,Helt ledige,Kvinner,2027,0.03,2019-05-01
Fylker,Østfold,Helt ledige,Menn,2077,0.027,2019-05-01
Landet,Landet,Arbeidssøkere på tiltak,Begge kjønn,15809,0.006,2019-05-01
Landet,Landet,Arbeidssøkere på tiltak,Kvinner,7363,0.006,2019-05-01
Landet,Landet,Arbeidssøkere på tiltak,Menn,8446,0.006,2019-05-01
Landet,Landet,Delvis ledige,Begge kjønn,27359,0.01,2019-05-01
Landet,Landet,Delvis ledige,Kvinner,15320,0.012,2019-05-01
Landet,Landet,Delvis ledige,Menn,12039,0.008,2019-05-01
Landet,Landet,Helt ledige,Begge kjønn,59813,0.021,2019-05-01
Landet,Landet,Helt ledige,Kvinner,26506,0.02,2019-05-01
Landet,Landet,Helt ledige,Menn,33307,0.022,2019-05-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Begge kjønn,45,0.007,2019-05-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Kvinner,22,0.007,2019-05-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Menn,23,0.006,2019-05-01
Telemark kommuner,Bamble,Delvis ledige,Begge kjønn,96,0.014,2019-05-01
Telemark kommuner,Bamble,Delvis ledige,Kvinner,57,0.018,2019-05-01
Telemark kommuner,Bamble,Delvis ledige,Menn,39,0.01,2019-05-01
Telemark kommuner,Bamble,Helt ledige,Begge kjønn,131,0.019,2019-05-01
Telemark kommuner,Bamble,Helt ledige,Kvinner,61,0.019,2019-05-01
Telemark kommuner,Bamble,Helt ledige,Menn,70,0.019,2019-05-01
