Navn,Org. nr.,Overordnet enhet,Antall ansatte,firfirmaid,Bedriftsstatus,Organisasjonsform,konsernopporgnr,Navn på overliggende enhet,Orgnr til toppenhet,Fylkesnavn,fylkesnavn,kommune_id,Kommunenummer,kommunenavn,Kommunenavn,Intervallkode antall ansatte,Omsetning i hele tusen,Driftsresultat i hele tusen,Dato for etablering,Sektorkode fra SSB,Privat eller offentlig,Nace_1_navn,Nace_5_navn,Nace_5_nr,Y (UTM33),X (UTM33),load_date,Lon,Lat
Liv Runa Sigtryggsdottir,924200928,923986480,0.0,16425974,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,2019-12-01,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Sportsaktiviteter ikke nevnt annet sted,93.190,6587273.220000001,163891.20999999996,2026-08-05 03:37:01,"9,095053047474172","59,29015919474196"
Rønningen Transport,924200278,823985002,0.0,16425919,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4030,4030,Nissedal,NISSEDAL,0-1,0.0,0.0,2019-11-26,,,Transport og lagring,Godstransport på vei,49.410,6553063.390000001,127291.48000000045,2026-08-05 03:37:01,"8,514818546845925","58,95428955353689"
Plan A Sport AS,924196475,923981233,0.0,16425678,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-11-29,,,Varehandel,Detaljhandel med sportsvarer,47.631,6576152.73,189263.33000000007,2026-08-05 03:37:01,"9,554294448747788","59,21014782628101"
Kjelingnuten AS,924196149,923980857,0.0,16425652,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,0.0,0.0,2019-11-29,,,Eiendomsvirksomhet,Utvikling og salg av byggeprosjekter,68.120,6637641.720000001,112291.99000000022,2026-08-05 03:37:01,"8,104121982660077","59,695150782338615"
Ørsvik Båtlag,924195207,923975942,0.0,16425585,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-14,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6575582.68,189542.59999999963,2026-08-05 03:37:01,"9,55997615164763","59,20525601771695"
Bothorsberg Holding AS,924194901,,0.0,16425560,1,Aksjeselskap,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,0.0,0.0,2019-12-02,Private aksjeselskaper mv.,Privat sektor,,,00.000,6556163.09,196666.23000000045,2026-08-05 03:37:01,"9,71107738589267","59,036756127081915"
Thorsberg Invest AS,924194847,,0.0,16425556,1,Aksjeselskap,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,0.0,0.0,2019-12-02,Private aksjeselskaper mv.,Privat sektor,,,00.000,6547208.85,183939.98000000045,2026-08-05 03:37:01,"9,503150692337105","58,94749068094208"
FAU Rjukan Ungdomsskole,924194472,923973923,0.0,16425529,1,,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,0.0,0.0,2019-12-14,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6655386.470000001,136140.33999999985,2026-08-05 03:37:01,"8,494155871374852","59,87499558783259"
Sonic Attic Forening og Brukerfelleskap,924194286,923973478,0.0,16425511,9,,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,2019-12-14,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6616075.59,175681.88999999966,2026-08-05 03:37:01,"9,25742148196104","59,55672038346353"
Mihajlovic Music,924194138,923880585,0.0,16425497,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-11-12,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,90.201,6568498.6899999995,194101.36000000034,2026-08-05 03:37:01,"9,649383778747133","59,14522656115877"
Soundbysandvik - Atle Pedersen,924192054,992814780,,16425321,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-11,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,90.390,6566433.65,193940.0700000003,2026-08-05 03:37:01,"9,649466045299208","59,12664646171902"
Aljana,924191708,924040327,0.0,16425294,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-14,,,Annen tjenesteyting,Aktiviteter i andre medlemsorganisasjoner ellers,94.992,6575240.52,192665.11000000034,2026-08-05 03:37:01,"9,614892433232756","59,20446910606502"
Kaasa Vekst AS,924190469,,,16425288,1,Aksjeselskap,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,50.0,40.0,2019-12-02,Private aksjeselskaper mv.,Privat sektor,,,00.000,6549875.460000001,186478.08000000007,2026-08-05 03:37:01,"9,543284707739712","58,97319333374946"
Byggservice Larsen,924188588,,0.0,16425281,1,Enkeltpersonforetak,,,,Telemark,Telemark,4024,4024,Hjartdal,HJARTDAL,0-1,0.0,0.0,2019-12-13,Personlig næringsdrivende,Privat sektor,Bygge- og anleggsvirksomhet,Oppføring av bygninger,41.000,6640785.58,151310.59999999963,2026-08-05 03:37:01,"8,787895134811817","59,75773546253615"
Sameiet Biørneveien 7 / Thomesheiveien 45,924185368,996617939,0.0,16425275,9,,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6538755.17,177686.3799999999,2026-08-05 03:37:01,"9,407244063475025","58,86727847083098"
Stathelle Panorama Borettslag,924185228,991961089,0.0,16425263,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Høyerhaven Boligsameie,924185147,991949739,,16425258,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Sameiet Bryggeparken - Skien,924184418,991782125,0.0,16425195,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6575872.25,192058.6900000004,2026-08-05 03:37:01,"9,603427632406358","59,20967765614392"
Sameiet Røysumveien 41-49,924184353,991767738,0.0,16425191,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6600454.890000001,164699.66999999993,2026-08-05 03:37:01,"9,08866792285382","59,40854653826227"
Bø Panorama,924184302,991743987,0.0,16425186,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6601416.119999999,163313.91999999993,2026-08-05 03:37:01,"9,062881292485896","59,4160266536016"
Trollstien Borettslag,924184159,991713824,0.0,16425174,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Boligsameiet Bjerketvedtveien 7,924183632,991554769,0.0,16425127,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6568633.880000001,195599.6799999997,2026-08-05 03:37:01,"9,675272045858668","59,14750992919196"
Fredensborg Sameie,924183314,991457771,0.0,16425098,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567483.26,193835.8700000001,2026-08-05 03:37:01,"9,646185064884211","59,13595640891594"
Rådyrvegen i Borettslag,924183128,991405984,0.0,16425082,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Solvang i Borettslag,924182598,991307087,0.0,16425037,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Boligsameiet Slemdalsgata 27 D Og,924182482,991276696,0.0,16425027,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6576365.74,191847.91000000015,2026-08-05 03:37:01,"9,599053975001413","59,213936705791404"
Røraåsen Borettslag,924182059,991185232,0.0,16424989,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Skaugen Terrasse Borettslag,924182040,991184368,0.0,16424988,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Rådhuskvartalet Atrium Borettslag,924182032,991184317,0.0,16424987,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Sameiet Engveien 6-14,924181958,991160515,0.0,16424979,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6568187.08,194747.74000000022,2026-08-05 03:37:01,"9,661068120338614","59,142904513785815"
Østre Kjellemo Borettslag,924181818,991122656,0.0,16424966,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Klokkertunet Borettslag,924181311,991009361,0.0,16424921,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6575872.25,192058.6900000004,2026-08-05 03:37:01,"9,603427632406358","59,20967765614392"
Maribakkane Borettslag,924181036,990966540,0.0,16424896,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Vestsiden Hageby V Borettslag,924181028,990966532,0.0,16424895,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6575872.25,192058.6900000004,2026-08-05 03:37:01,"9,603427632406358","59,20967765614392"
Elvebredden Notodden Borettslag,924180633,990911878,0.0,16424865,9,,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6616521.27,175909.48000000045,2026-08-05 03:37:01,"9,260748027805963","59,56087870330595"
Sameiet Nordre Røråsen 7,924180579,990892423,0.0,16424859,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6576345.619999999,187694.45999999996,2026-08-05 03:37:01,"9,526667873063811","59,21072065395006"
Svea Fyr Borettslag,924180560,990891788,0.0,16424858,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6575872.25,192058.6900000004,2026-08-05 03:37:01,"9,603427632406358","59,20967765614392"
Bryggeparken Borettslag,924180544,990885478,0.0,16424856,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6575872.25,192058.6900000004,2026-08-05 03:37:01,"9,603427632406358","59,20967765614392"
Uvatn Borettslag,924180404,990822298,0.0,16424844,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Åmotbakken Sameie,924180021,990730938,0.0,16424812,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Sameiet Bratsberg Brygge II,924179600,990611688,,16424774,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Bergland Borettslag,924179465,990573883,0.0,16424762,9,,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6538996.09,178107.16000000015,2026-08-05 03:37:01,"9,414157270308138","58,869746893313746"
Sameiet Hovedgata 41,924179066,990496099,0.0,16424726,9,,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6588053.85,164131.66999999993,2026-08-05 03:37:01,"9,098040135543174","59,29732320177294"
Gimletunet Sameige,924179015,990481245,0.0,16424722,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6601170.4,163262.53000000026,2026-08-05 03:37:01,"9,06236626495657","59,41379081816828"
Sameiet Tiurtunet I,924178795,990447888,0.0,16424702,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6578132.1,189596.83000000007,2026-08-05 03:37:01,"9,55728381481509","59,22808714377921"
Sameiet Sam Eydesgt. 316,924178612,990417911,0.0,16424686,9,,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6655220.34,144924.1900000004,2026-08-05 03:37:01,"8,650359179658386","59,881150789120625"
Vågslidtun Borettslag,924178450,990385807,0.0,16424671,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Sameiet Rauland Høgfjellshotell II,924178027,990318514,0.0,16424633,9,,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6610982.3100000005,138995.95999999996,2026-08-05 03:37:01,"8,620906926913586","59,48126186843786"
Bråtheia Borettslag,924177829,990289468,0.0,16424615,9,,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6538996.09,178107.16000000015,2026-08-05 03:37:01,"9,414157270308138","58,869746893313746"
Torvet Borettslag,924177764,990280770,0.0,16424609,9,,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6616606.699999999,176025.09999999963,2026-08-05 03:37:01,"9,26265330814322","59,56173150914804"
Lagmannslia Nord Borettslag,924177578,990238413,0.0,16424591,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Vindalsåsen Borettslag,924177292,990201102,0.0,16424567,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6575872.25,192058.6900000004,2026-08-05 03:37:01,"9,603427632406358","59,20967765614392"
Sjøheia Borettslag,924176121,989946129,0.0,16424464,9,,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6538996.09,178107.16000000015,2026-08-05 03:37:01,"9,414157270308138","58,869746893313746"
Anders Baarsveg Borettslag,924175990,989890948,0.0,16424451,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Gamlegata Borettslag,924175982,989890905,0.0,16424450,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Sentrumsleilighetane Sameige,924175095,989712306,0.0,16424371,9,,,,,Telemark,Telemark,4032,4032,Fyresdal,FYRESDAL,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6595939.289999999,110201.40000000037,2026-08-05 03:37:01,"8,143462198052422","59,321423464291485"
Havutsikten Borettslag,924175036,989698656,0.0,16424365,9,,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6538996.09,178107.16000000015,2026-08-05 03:37:01,"9,414157270308138","58,869746893313746"
Sameiet Bratsberg Bruk,924174447,989538233,0.0,16424315,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567847.279999999,193845.58999999985,2026-08-05 03:37:01,"9,64584465655668","59,1392181964914"
Grensegata Borettslag,924174218,989467662,,16424295,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567675.960000001,194608.15000000037,2026-08-05 03:37:01,"9,659352715770584","59,13823421003764"
Boligsameiet Slemdalsgate 25 & 27,924173920,989368982,0.0,16424270,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6576370.0,191845.28000000026,2026-08-05 03:37:01,"9,59900208317556","59,21397288233312"
Jernbanevn 33 Boligsameie,924173661,989269429,0.0,16424247,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6577294.09,192009.1200000001,2026-08-05 03:37:01,"9,60055048824868","59,22235364024802"
Sameige Haugenjordet,924173513,989215639,0.0,16424234,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6597626.09,169175.21999999974,2026-08-05 03:37:01,"9,1714503176443","59,38681477844041"
Sameiet Hovedgata 18 B,924173475,989192329,0.0,16424230,9,,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6588212.050000001,164628.58999999985,2026-08-05 03:37:01,"9,106473349519716","59,29913061476721"
Sameiet Rauland Høgfjellshotell 1,924171995,988694371,0.0,16424097,9,,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6610982.3100000005,138995.95999999996,2026-08-05 03:37:01,"8,620906926913586","59,48126186843786"
Kleppenjordet Boligsameige,924171707,988643726,0.0,16424071,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6601505.3100000005,163906.16999999993,2026-08-05 03:37:01,"9,07312047207974","59,41729648504909"
Åsenjordet Boligsameie,924171545,988614068,0.0,16424057,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6600230.9399999995,163610.88999999966,2026-08-05 03:37:01,"9,069942640724186","59,405678015592535"
Sameiet Bratsberg Brygge I,924171472,988600091,0.0,16424051,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6567890.1899999995,193904.74000000022,2026-08-05 03:37:01,"9,646813813756623","59,13964441096726"
Sameiet Solberg Terasse - Skien,924170964,988512567,0.0,16424006,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6576675.92,190850.58000000007,2026-08-05 03:37:01,"9,581223518131043","59,21598439340985"
Sameiet Sementveien 4,924170581,988436534,0.0,16423973,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6558772.300000001,195475.00999999978,2026-08-05 03:37:01,"9,686799865640332","59,05924045528438"
Helle Terrasse Borettslag,924170573,988431109,1.0,16423972,9,,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,0.0,0.0,2019-12-13,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6538996.09,178107.16000000015,2026-08-05 03:37:01,"9,414157270308138","58,869746893313746"
