Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Brunvoll mar-el AS,914192137,,55,2100,Private aksjeselskaper mv.,,Tokke,,Aksjeselskap,33.200,Installasjon av industrimaskiner og -utstyr,,,,
Bø installasjon AS,984971109,,55,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,47.540,Butikkhandel med elektriske husholdningsapparater,,
Maxeta AS,864425402,,55,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.140,"Agenturhandel med maskiner, produksjonsutstyr, båter og luftfartøyer",,,,
Bluegreen fusion AS,926128736,,55,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",,,,
Fergene Telemark fkf,934448960,929882989,55,6500,Kommuneforvaltningen,,Skien,Kragerø,Fylkeskommunalt foretak,50.102,Innenlandske kystruter med passasjerer,,,,
Vestfold og Telemark revisjon iks,923822410,,55,6500,Kommuneforvaltningen,,Skien,Skien,Interkommunalt selskap,84.110,Generell offentlig administrasjon,,,,
Skien kommune - Skien interkommunale legevakt,976820991,938759839,55,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,86.211,Allmenn legetjeneste,,,,
First camp norge AS,828430882,,54,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,55.300,Drift av campingplasser,,,,
Novari iks,998283914,,54,6500,Kommuneforvaltningen,,Porsgrunn,,Interkommunalt selskap,62.010,Programmeringstjenester,,,,
Himmelblå helse og omsorg AS,922127212,,54,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,87.302,Bofellesskap for eldre og funksjonshemmede med fast tilknyttet personell hele døgnet,87.203,Bofellesskap for psykisk utviklingshemmede,,
L grønaasen transport AS,950948906,,53,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,49.410,Godstransport på vei,,,,
Sparebanken din Telemark,937891512,,52,3200,Banker,,Midt-Telemark,Midt-Telemark,Sparebank,64.190,Bankvirksomhet ellers,,,,
Norsk industriarbeidermuseum,971492414,,52,7000,Ideelle organisasjoner,,Tinn,,Stiftelse,91.022,Drift av kulturhistoriske museer,91.021,Drift av kunst- og kunstindustrimuseer,,
Hauk sveinsson AS,976252713,,51,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.120,Grunnarbeid,,,,
Straand hotel AS,945805013,,51,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Nextcall AS,915590292,,51,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,82.202,Telefonsalg,,,,
Kragerø kommune støtte og utvikling,974643979,963946902,51,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Brubakken AS,930730556,,50,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,33.120,Reparasjon av maskiner,,,,
Mathuset eyde AS,983213820,,49,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,10.710,Produksjon av brød og ferske konditorvarer,,,,
Kebony norge AS,979446276,,48,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,16.100,"Saging, høvling og impregnering av tre",,,,
Sunde renovasjon & gjenvinning AS,966405074,,48,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,38.110,Innsamling av ikke-farlig avfall,,,,
Skorve entreprenør AS,996369609,,48,2100,Private aksjeselskaper mv.,,Kviteseid,Seljord,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Mobile Skien AS,861151972,,48,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,
Kragerø golf AS,983156274,,48,2100,Private aksjeselskaper mv.,,Kragerø,Oslo,Aksjeselskap,93.110,Drift av idrettsanlegg,,,,
Holte gård Drangedal AS,913826639,,47,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,01.479,Annet fjørfehold,,,,
Tinfos AS,916763476,,47,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,35.111,Produksjon av elektrisitet fra vannkraft,,,,
Night & day security AS,931505068,,47,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,80.100,Private vakttjenester,,,,
Romnes AS,964348596,,46,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",,,,
Energistopp AS,821863902,,46,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Brevik engineering AS,911811251,,46,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Park event AS,912547906,,46,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",,,,
Tor entreprenør AS,982845475,,45,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Telemark transport og entreprenørsentral AS,992673044,,45,2100,Private aksjeselskaper mv.,,Tokke,,Aksjeselskap,43.120,Grunnarbeid,,,,
Eltera skagerrak AS,918672567,,45,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Svein harry bakke transport,970314083,,45,2300,Personlige foretak,,Kragerø,Kragerø,Enkeltpersonforetak,49.410,Godstransport på vei,,,,
Pn Porsgrunn AS,927855526,,45,2100,Private aksjeselskaper mv.,,Porsgrunn,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Nystrand barnehage AS,892151172,,45,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Malermester kjellsen & tufte AS,982744504,,44,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,43.341,Malerarbeid,,,,
Eek logistikk AS,917870837,,44,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,49.410,Godstransport på vei,,,,
Tipp frakt AS,925793701,,44,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,49.410,Godstransport på vei,,,,
Kviteseid kommune samfunnsutvikling og teknisk drift,974641046,964963827,44,6500,Kommuneforvaltningen,,Kviteseid,Kviteseid,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Ragnars AS,994639927,,43,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,10.890,Produksjon av næringsmidler ikke nevnt annet sted,,,,
Vafos pulp AS,999256813,,43,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,17.110,Produksjon av papirmasse,,,,
Tata steel norway byggsystemer AS,959807949,,43,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,25.110,Produksjon av metallkonstruksjoner og deler,,,,
Vms Porsgrunn AS,986754199,,43,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,33.120,Reparasjon av maskiner,,,,
G. coward AS,929683943,,43,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,46.740,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",,,,
Comfort hotel Porsgrunn AS,917459444,,43,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Telemark vei- og trafikksikring AS,919502614,,43,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Hjem og industrirenhold AS,978632785,,43,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.210,Rengjøring av bygninger,,,,
Stiftelsen international school Telemark,985922292,,43,2100,Private aksjeselskaper mv.,,Porsgrunn,,Stiftelse,85.201,Ordinær grunnskoleundervisning,,,,
Urdarbrønnen sa,883168232,,43,2100,Private aksjeselskaper mv.,,Porsgrunn,,Samvirkeforetak,88.911,Barnehager,,,,
Family fitness AS,977466407,,43,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,93.130,Treningssentre,,,,
Sprek fritid Porsgrunn AS,924390778,,43,2100,Private aksjeselskaper mv.,,Porsgrunn,Skien,Aksjeselskap,93.130,Treningssentre,,,,
Telemark nett AS,925803375,,42,1520,Kommunalt eide aksjeselskaper mv.,,Tokke,,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Entreprenør ulf solbakken AS,878653572,,42,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Kåsa & ringhus entreprenør AS,891336802,,42,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,43.120,Grunnarbeid,,,,
Lemon AS,985051283,,42,2100,Private aksjeselskaper mv.,,Porsgrunn,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Drangedal kommune kommunedirektørens stab,994971247,933277461,42,6500,Kommuneforvaltningen,,Drangedal,,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Skien kommune - it-samarbeidet i grenland (itg),889421142,938759839,42,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Drangedal kommune sektor for bygg eiendom og kommunalteknikk,994971425,933277461,42,6500,Kommuneforvaltningen,,Drangedal,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Enrx holding AS,955706137,,41,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,27.110,"Produksjon av elektromotorer, generatorer og transformatorer",,,,
Hydrogenpro asa,912305198,,41,2100,Private aksjeselskaper mv.,,Porsgrunn,,Allmennaksjeselskap,27.900,Produksjon av annet elektrisk utstyr,,,,
Qmatec drilling AS,990688745,,41,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,28.920,Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet,,,,
Hella maskin AS,968658999,,41,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",,,,
Brotorvet mat AS,915344976,,41,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Grenland taxi AS,978692389,,41,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,52.214,Drift av taxisentraler og annen formidling av persontransport,,,,
Controlpartner AS,915828248,,41,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,,,,
Samtun AS,986395865,,41,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,88.997,Sosialtjenester for rusmiddelmisbrukere uten botilbud,,,,
Morgan AS,998179327,,40,2100,Private aksjeselskaper mv.,,Drangedal,Porsgrunn,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Brødrene alseth a/s,919908254,,40,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,43.120,Grunnarbeid,,,,
Elektropluss Telemark AS,915453457,,40,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Norsk områdesikring AS,997362470,,40,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Gs dagligvaredrift AS,914908221,,40,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Telemarksporten dagligvare AS,976304217,,40,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Stiftelsen grenland folkehøgskole,971544821,,40,2100,Private aksjeselskaper mv.,,Porsgrunn,,Stiftelse,85.591,Folkehøgskoleundervisning,,,,
Preg barnehager tinnesmoen AS,930391093,,40,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,88.911,Barnehager,,,,
Lega ost og bakst AS,924894822,,39,2100,Private aksjeselskaper mv.,,Vinje,Vinje,Aksjeselskap,10.710,Produksjon av brød og ferske konditorvarer,10.510,Produksjon av meierivarer,56.101,Drift av restauranter og kafeer
Dalen mekaniske produksjon AS,994095773,,39,2100,Private aksjeselskaper mv.,,Tokke,Tokke,Aksjeselskap,25.620,Bearbeiding av metaller,,,,
Skarpenord AS,937773609,,39,2100,Private aksjeselskaper mv.,,Tinn,Tinn,Aksjeselskap,28.120,Produksjon av komponenter til hydraulisk og pneumatisk utstyr,,,,
Telemark byggentreprenør AS,916561725,,39,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Flåtten supermarked AS,970982701,,39,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Haugane stasjonsdrift AS,922695229,,39,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Skien sportsbar AS,920492940,,39,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Drangedal sparebank,937891601,,39,3200,Banker,,Drangedal,,Sparebank,64.190,Bankvirksomhet ellers,,,,
Fyresdal kommune rådmann og fellestenester,974643944,939772766,39,6500,Kommuneforvaltningen,,Fyresdal,,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Nicro AS,925546011,,38,2100,Private aksjeselskaper mv.,,Siljan,Siljan,Aksjeselskap,25.990,Produksjon av metallvarer ikke nevnt annet sted,,,,
Mathuset frogner AS,911669994,,38,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Kragerø sportell og apartments AS,981409272,,38,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,55.102,"Drift av hoteller, pensjonater og moteller uten restaurant",,,,
Villa mat AS,999022294,,38,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,56.210,Cateringvirksomhet,,,,
Stiftelsen telemarksforsking,948639238,,38,2500,Private produsentorienterte organisasjoner uten profittformål,,Midt-Telemark,Midt-Telemark,Stiftelse,72.200,Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske fag,,,,
Nissedal kommune eining for teknisk drift,974641070,964964343,38,6500,Kommuneforvaltningen,,Nissedal,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Seljord kommune teknisk avdeling,974641011,964963738,38,6500,Kommuneforvaltningen,,Seljord,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Drangedal produkter AS,976594916,,38,1520,Kommunalt eide aksjeselskaper mv.,,Drangedal,,Aksjeselskap,88.994,Varig tilrettelagt arbeid,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",,
Stiftinga vest-telemark museum,985231931,,38,6500,Kommuneforvaltningen,,Tokke,,Stiftelse,91.022,Drift av kulturhistoriske museer,,,,
Sprek fritid Skien AS,922711232,,38,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,93.130,Treningssentre,,,,
Mustad bygg AS,958816634,,37,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Star bilskade Vestfold og Telemark AS,961915937,,37,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,,
Colliflow AS,928467872,,37,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,52.100,Lagring,,,,
Sommartider AS,930331465,,37,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Victoria hotell AS,917166676,,37,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Fyresdal kommune sektor for plan og teknikk,974641100,939772766,37,6500,Kommuneforvaltningen,,Fyresdal,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Villamoen barnehage AS,931045504,,37,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.911,Barnehager,,,,
Heia! AS,976143337,,37,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,93.130,Treningssentre,,,,
Aaltvedt betong AS,929101987,,36,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,,,,
Renovasjon i grenland iks,913482778,,36,6500,Kommuneforvaltningen,,Skien,Skien,Interkommunalt selskap,38.110,Innsamling av ikke-farlig avfall,,,,
Inflowcontrol AS,996957691,,36,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Tokke kommune sentraladministrasjon,974643952,964964521,36,6500,Kommuneforvaltningen,,Tokke,Tokke,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Sjøgløtt omsorgssenter AS,916914857,,36,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,87.901,Institusjoner innen barne- og ungdomsvern,,,,
Ekstrand verksted AS,926016407,,35,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,33.150,Reparasjon og vedlikehold av skip og båter,,,,
Tveito maskin AS,812488872,,35,2100,Private aksjeselskaper mv.,,Nome,Nome,Aksjeselskap,42.110,Bygging av veier og motorveier,,,,
Knut haugsjå AS,980835286,,35,2100,Private aksjeselskaper mv.,,Nissedal,,Aksjeselskap,43.120,Grunnarbeid,,,,
Star bil AS,995494698,,35,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,
Telesenteret Seljord AS,980996417,,35,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Hotel bryggeparken AS,983155324,,35,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Telemarksavisa AS,952108573,,35,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,58.130,Utgivelse av aviser,,,,
Gulset og skotfoss sokn,876991152,,35,6500,Kommuneforvaltningen,,Skien,Skien,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Skiens rustfri industri AS,989454471,,34,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,25.110,Produksjon av metallkonstruksjoner og deler,,,,
Ksm AS,976799070,,34,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,25.620,Bearbeiding av metaller,,,,
Gs maskin AS,918912320,,34,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,43.120,Grunnarbeid,,,,
Mathuset kjørbekk AS,996741346,,34,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Drangedal bilruter AS,994057383,,34,2100,Private aksjeselskaper mv.,,Drangedal,Drangedal,Aksjeselskap,49.391,Rutebiltransport utenfor by- og forstadsområde,47.300,Detaljhandel med drivstoff til motorvogner,,
Moss sportsbar AS,931755528,,34,2100,Private aksjeselskaper mv.,,Skien,Oslo,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Sjøloftet AS,929336038,,34,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Strøm mat & bar AS,911722267,,34,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Telemark-svingen AS,976325265,,34,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Univers AS,917213372,,34,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,58.290,Utgivelse av annen programvare,,,,
Nc-spectrum AS,989635719,,34,1520,Kommunalt eide aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,,,,
Oasen skole grenland AS,927150646,,34,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,85.201,Ordinær grunnskoleundervisning,,,,
Maurtuva barnehage sa,971325747,,34,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Samvirkeforetak,88.911,Barnehager,,,,
Skien kommune - barnevernvakta i Telemark,922785805,938759839,34,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,88.991,Barneverntjenester,,,,
Made for movement group AS,991237615,,33,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,30.990,Produksjon av andre transportmidler ikke nevnt annet sted,,,,
Eckholdt AS,948191660,,33,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,43.120,Grunnarbeid,,,,
Steen-hansen maskin AS,891609582,,33,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.120,Grunnarbeid,,,,
Gromstad bil & båt AS,983335470,,33,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,
Lio auto AS,913955668,,33,2100,Private aksjeselskaper mv.,,Tokke,Tokke,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",47.300,Detaljhandel med drivstoff til motorvogner,,
Storkaas handel AS,913951697,,33,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,46.732,Engroshandel med trelast,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,
Risingveien mat AS,993955299,,33,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Interiør møbelforretning AS,912983013,,33,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.591,Butikkhandel med møbler,,,,
Brukås sport a.s,946290408,,33,2100,Private aksjeselskaper mv.,,Midt-Telemark,Midt-Telemark,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Skien taxi buss AS,996719030,,33,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,49.392,Turbiltransport,,,,
Brevik losse & lastearbeider forening,971105380,,33,2500,Private produsentorienterte organisasjoner uten profittformål,,Porsgrunn,,Forening/lag/innretning,52.240,Lasting og lossing,,,,
Tinn sparebank,937891423,,33,3200,Banker,,Tinn,Tinn,Sparebank,64.190,Bankvirksomhet ellers,,,,
Nb & partnere AS,922346313,,33,4900,Øvrige finansielle foretak unntatt forsikring,,Bamble,,Aksjeselskap,66.220,Forsikringsformidling,,,,
Hvite busser,971327413,,33,2100,Private aksjeselskaper mv.,,Porsgrunn,,Stiftelse,85.599,Annen undervisning ikke nevnt annet sted,,,,
Spire & gro melkeveien barnehage AS,926178458,,33,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Dnt Telemark,972422169,,33,7000,Ideelle organisasjoner,,Skien,Skien,Forening/lag/innretning,94.991,Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted,55.202,Drift av ferieleiligheter,,
Søve AS,953510413,,32,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,32.300,Produksjon av sportsartikler,,,,
Kts bygg AS,913226305,,32,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Proweld industrier AS,911606003,,32,2100,Private aksjeselskaper mv.,,Bamble,Porsgrunn,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Telemark entreprenørservice AS,933509524,,32,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Kvam transport AS,925271586,,32,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,49.410,Godstransport på vei,,,,
Eiendomsmegler 1 Telemark AS,971225793,,32,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,68.310,Eiendomsmegling,,,,
Brakon AS,970918701,,32,2100,Private aksjeselskaper mv.,,Porsgrunn,Oslo,Aksjeselskap,71.121,Byggeteknisk konsulentvirksomhet,,,,
Ghl hage & landskap AS,980670899,,32,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.300,Beplantning av hager og parkanlegg,,,,
Skien kommune - alarmsentralen Telemark,986194088,938759839,32,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,86.901,Hjemmesykepleie,,,,
Grenland folkehøgskoles barnehage AS,984746628,,32,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Notodden kirkelig fellesråd,976991338,,32,6500,Kommuneforvaltningen,,Notodden,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Provacc AS,996830845,,31,2100,Private aksjeselskaper mv.,,Kragerø,Bamble,Aksjeselskap,03.213,Tjenester tilknyttet hav- og kystbasert fiskeoppdrett,,,,
Indre agder og Telemark avfallsselskap iks,977500303,,31,6500,Kommuneforvaltningen,,Nissedal,,Interkommunalt selskap,38.210,Behandling og disponering av ikke-farlig avfall,,,,
Helge aasen AS,915575293,,31,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.120,Grunnarbeid,,,,
Tellefsen AS,992841702,,31,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,43.120,Grunnarbeid,,,,
Gaustabanen AS,863891892,,31,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,49.393,"Transport med taubaner, kabelbaner og skiheiser",,,,
Cato rekanes transport AS,913721462,,31,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,49.410,Godstransport på vei,,,,
Gassnova sf,991627626,,31,6100,Statsforvaltningen,,Porsgrunn,,Statsforetak,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Telemark toppidrett ungdomsskole Skien AS,915761968,,31,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,85.201,Ordinær grunnskoleundervisning,,,,
Granvin kulturhus AS,999640052,,31,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,90.040,Drift av lokaler tilknyttet kunstnerisk virksomhet,,,,
Telemark kildevann AS,866409242,,30,2100,Private aksjeselskaper mv.,,Fyresdal,Fyresdal,Aksjeselskap,11.070,"Produksjon av mineralvann, leskedrikker og annet vann på flaske",,,,
